tanggal,unvr,rasio,spesimen
24-02-2021,"6870.00","14.10","58472.43"
03-03-2021,"6795.00","13.69","52762.00"
10-03-2021,"6618.75","9.49","64074.86"
17-03-2021,"6590.00","9.00","65666.57"
24-03-2021,"6655.00","8.25","65188.29"
31-03-2021,"6618.75","10.41","56696.29"
07-04-2021,"6510.00","7.47","64688.57"
14-04-2021,"6315.00","8.67","64208.14"
21-04-2021,"6165.00","8.33","64168.86"
28-04-2021,"6055.00","8.24","65429.00"
05-05-2021,"5700.00","7.24","72324.14"
12-05-2021,"5662.50","9.33","43615.29"
19-05-2021,"5708.33","6.61","78948.71"
26-05-2021,"5750.00","7.00","85829.57"
02-06-2021,"5781.25","7.27","80674.29"
09-06-2021,"5410.00","8.71","95236.57"
16-06-2021,"5120.00","10.68","107776.86"
23-06-2021,"5020.00","14.87","124083.43"
30-06-2021,"5070.00","17.67","138819.29"
07-07-2021,"4926.00","20.69","173948.29"
14-07-2021,"5105.00","22.61","224207.43"
21-07-2021,"5006.25","19.96","212596.29"
28-07-2021,"4440.00","16.70","234872.29"
04-08-2021,"4394.00","14.80","218659.00"
11-08-2021,"4255.00","13.96","194096.71"
18-08-2021,"4140.00","10.49","173423.14"
25-08-2021,"4086.00","7.29","183368.14"
01-09-2021,"4134.00","4.00","195718.29"
08-09-2021,"4156.00","2.53","219066.29"
15-09-2021,"4018.00","1.61","234897.71"
22-09-2021,"3956.00","1.02","240460.43"
29-09-2021,"3882.00","0.67","241474.14"
